[5.418s][info][gc,cpu         ] GC(13) User=1.00s Sys=0.00s Real=0.09s
[10.661s][info][gc,start       ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[10.661s][info][gc,task        ] GC(14) Using 12 workers of 33 for evacuation
[10.673s][info][gc,phases      ] GC(14)   Pre Evacuate Collection Set: 0.1ms
[10.673s][info][gc,phases      ] GC(14)   Merge Heap Roots: 0.3ms
[10.673s][info][gc,phases      ] GC(14)   Evacuate Collection Set: 11.0ms
[10.673s][info][gc,phases      ] GC(14)   Post Evacuate Collection Set: 0.7ms
[10.673s][info][gc,phases      ] GC(14)   Other: 0.2ms
[10.673s][info][gc,heap        ] GC(14) Eden regions: 241->0(236)
[10.673s][info][gc,heap        ] GC(14) Survivor regions: 0->17(31)
[10.673s][info][gc,heap        ] GC(14) Old regions: 175->175
[10.673s][info][gc,heap        ] GC(14) Archive regions: 0->0
[10.673s][info][gc,heap        ] GC(14) Humongous regions: 6->6
[10.673s][info][gc,metaspace   ] GC(14) Metaspace: 6072K(6272K)->6072K(6272K) NonClass: 5629K(5696K)->5629K(5696K) Class: 442K(576K)->442K(576K)
[10.673s][info][gc             ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 415M->190M(512M) 12.791ms
[10.673s][info][gc,cpu         ] GC(14) User=0.19s Sys=0.00s Real=0.01s
[11.043s][info][gc,heap,exit   ] Heap
[11.044s][info][gc,heap,exit   ]  garbage-first heap   total 524288K, used 435152K [0x00000000e0000000, 0x0000000100000000)
[11.044s][info][gc,heap,exit   ]   region size 1024K, 245 young (250880K), 17 survivors (17408K)
[11.044s][info][gc,heap,exit   ]  Metaspace       used 6115K, committed 6400K, reserved 1114112K
[11.044s][info][gc,heap,exit   ]   class space    used 448K, committed 576K, reserved 1048576K
